ID,Feature / Area,Page / Route,Description,Priority,Status,Environment,Last Updated,Test Instructions,Notes,,
TASK-001,Listings,/my-listings/new /api/listings /listing/[id],Enable multi-image upload - also fix 401 Unauthorized error when creating listings. Add Year Built and Garage Spaces fields. Fix Spread and ROI calculations.,High,Passed Testing,Both,2/12/2025,"1) Login as wholesaler.pro@test.com (Pro wholesaler test account).
2) Navigate to Post a Deal page (/my-listings/new).
3) Fill out listing form with required fields (address, city, state, zip, price).
4) Set Year Built = 2005 and Garage Spaces = 3.
5) Upload multiple images (3-5 photos) - verify all images upload successfully.
6) Submit listing form.
7) Verify NO 401 Unauthorized error - listing should create successfully.
8) Verify listing appears in my-listings page.
9) View listing detail page and verify:
   - All images display in carousel
   - Year Built shows '2005'
   - Garage shows '3 spaces'
   - Spread calculates correctly: ARV - Purchase Price
   - ROI calculates correctly: (Net Profit / Total Investment) × 100
   - No NaN or incorrect values displayed
10) Check browser console for any auth errors.",✅ COMPLETE: CreateListingForm supports multiple images and uploads successfully. Fixed 401 error by adding Authorization header support in POST /api/listings route and frontend fetch call. Route now uses dual auth (cookies + Authorization header fallback). Added Year Built and Garage Spaces optional fields to form. Fixed Spread calculation (ARV - Purchase Price) and ROI calculation (accounts for repairs in total investment). All fields display on listing detail page with proper N/A fallbacks.,,
TASK-002,Analytics,"/bugfix, /imports, /investor/wholesaler",Fix Lead Conversion Trends page,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Admin login.
2) Open /admin/analytics.
Expected: Dashboard loads with metrics; no NaN/undefined.

1) Change date range.
Expected: Charts and metrics update cleanly.

1) Click “view more”.
Expected: Routes correctly to detail pages.",Lead Conversion Trends page implemented with funnel logic; needs ongoing data accuracy checks.,,
TASK-003,Analytics,"/bugfix, /imports, /investor/wholesaler",Fix Geographic Heatmap,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Admin login.
2) Open /admin/analytics.
Expected: Dashboard loads with metrics; no NaN/undefined.

1) Change date range.
Expected: Charts and metrics update cleanly.

1) Click “view more”.
Expected: Routes correctly to detail pages.",Heatmap analytics page implemented; performance and visualization can be improved later.,,
TASK-004,Admin Panel,"/bugfix, /imports, /investor/wholesaler",Fix Alerts Admin page,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Login as admin user.
2) Navigate to /admin/alerts page.
3) Verify alerts list loads without errors.
4) Test real-time subscription updates by creating/modifying alerts from another session.
5) Verify error handling when alerts service is unavailable.",Alerts admin UI implemented with real-time subscriptions; needs extended testing and error handling.,,
TASK-005,Admin Panel,"/bugfix, /imports, /investor/wholesaler",Fix Watchlist Admin page,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Login as admin user.
2) Navigate to /admin/watchlists page.
3) Verify watchlist data loads correctly.
4) Test filtering and sorting functionality.
5) Verify error handling for deleted/unavailable listings.",Watchlist admin UI implemented; needs feature expansion and robustness testing.,,
TASK-006,Admin Panel,"/bugfix, /imports, /investor/wholesaler",Fix Analytics Dashboard,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Fix Analytics Dashboard.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",Admin analytics dashboard implemented with basic metrics; data accuracy and performance tuning remain.,,
TASK-007,Subscriptions,"/bugfix, /imports, /investor/wholesaler",Verify Stripe webhooks,High,Passed Testing,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Verify Stripe webhooks.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",Stripe webhook handlers implemented with idempotency; needs comprehensive production event testing.,,
TASK-008,Core Stability,"/bugfix, /imports, /investor/wholesaler",Fix map rendering issues,High,Passed Testing,Both,11/30/2025,"1) Navigate to listings page.
2) Verify map renders without flicker or errors.
3) Test marker clustering with multiple listings.
4) Verify polygon drawing works and persists correctly.
5) Check browser console for AdvancedMarkerElement deprecation warnings.
6) Test on mobile and desktop browsers.","Map and polygon drawing exist; flicker, drawing persistence, and AdvancedMarkerElement deprecation still unresolved.",,
TASK-009,Admin Panel,"/bugfix, /imports, /investor/wholesaler",Fix CRM Export,High,Not Started,Both,11/30/2025,"1) Login as admin.
2) Navigate to CRM Export page.
3) Verify export functionality is implemented (not 'Coming Soon').
4) Test CSV export with various filters.
5) Verify exported data matches database records.",CRM export page is a stub ('Coming Soon'); no export pipeline implemented yet.,,
TASK-010,AI Tools,"/bugfix, /imports, /investor/wholesaler",Fix Repair Estimator blank page,High,Not Started,Both,11/30/2025,"1) Navigate to repair estimator tool (if route exists).
2) Input property details and verify estimator logic runs.
3) Verify results display correctly.
4) Test with different property types and conditions.",Estimator logic exists in shared library; UI and routing are currently stubbed.,,
